Record_ID,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
28,AirAsia,I5-744,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.83,1,8869
29,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,10260
30,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,1,10470
31,GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,1,10575
32,Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,1,10838
33,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,14.67,1,12150
34,Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,16.17,1,12150
35,Vistara,UK-819,Delhi,Afternoon,one,Morning,Mumbai,Economy,18,1,12150
36,Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,1,12150
37,Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,1,12150
38,Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,1,11900
39,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,1,12123
40,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,1,12123
41,Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11,1,12150
42,Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,1,12150
43,Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,1,12150
44,Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,1,12150
45,Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,1,12215
46,SpiceJet,SG-339,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.58,1,12230
47,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,12780
48,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,1,12885
49,AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,1,12539
50,Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,12938
51,Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,1,12990
52,Air_India,AI-429,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,1,12990
53,Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,1,12990
54,Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.75,1,13086
55,Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,1,13279
56,Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,13279
57,Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,1,13279
58,Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,1,13279
59,Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,1,13279
60,Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,1,13673
61,Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,13410
62,Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,1,13935
63,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,1,14040
64,Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,1,14040
65,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,14093
66,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,28.17,1,14093
67,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25,1,14093
68,Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,1,13767
69,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,1,13932
70,Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,1,14408
71,Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,1,14408
72,Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,1,14250
73,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,1,14539
74,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,1,14985
75,Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,14670
76,Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,1,15195
77,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,1,15720
78,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42,1,15983
79,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26,1,15983
80,Indigo,6E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,1,15720
81,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,1,15720
82,Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,1,15720
83,Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33,1,16245
84,Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,16613
85,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,17,1,16665
86,Vistara,UK-835,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,16665
87,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,1,16455
88,Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,1,16665
89,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,1,17348
90,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17348
91,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,1,17348
92,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,1,17348
93,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,1,17348
94,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,1,17400
95,Vistara,UK-707,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,17505
96,Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17610
97,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,1,17295
98,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,1,17663
99,Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,1,18030
100,Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,18398
101,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,1,18450
102,GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,1,18487
103,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,1,18923
104,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,1,18923
105,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,1,18923
106,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,1,19238
107,Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,Economy,15.75,1,19920
108,Air_India,AI-767,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,1,19710
109,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,1,19710
110,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,16,1,20130
111,Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,1,19815
112,Vistara,UK-707,Delhi,Evening,one,Night,Mumbai,Economy,6,1,21075
113,GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,1,21111
114,Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,1,23206
115,Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,1,24540
116,Air_India,AI-401,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11,1,25800
117,Vistara,UK-837,Delhi,Evening,one,Morning,Mumbai,Economy,18.25,1,27270
118,Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.08,1,29580
119,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,2,5953
120,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5953
121,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
122,Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
123,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
124,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
125,Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5955
126,Vistara,UK-953,Delhi,Night,zero,Night,Mumbai,Economy,2.17,2,6060
127,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5954
128,GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5954
129,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5954
130,GO_FIRST,G8-330,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5954
131,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,2,5954
132,GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,2,5954
133,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
134,Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,2,5955
135,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
136,Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,5955
137,Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,2,5955
138,Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25,2,5955
139,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
140,Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,2,5955
141,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,2,5955
142,AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,2,5956
143,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,2,5955
144,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,2,5955
145,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,2,5955
146,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,2,5955
147,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,2,5955
148,AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,2,5949
149,AirAsia,I5-747,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,2,5949
150,GO_FIRST,G8-188,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.33,2,5954
151,GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,2,5954
152,Air_India,AI-636,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,2,5955
153,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,,2,5955
154,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,,2,6375
155,Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,,2,7530
156,Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,,2,7530
157,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,,2,7530
158,AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,,2,7419
159,Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,,2,7845
160,Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,,2,8396
161,SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,,2,8869
162,SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,,2,9183
163,Air_India,AI-469,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,,2,9840
164,Air_India,AI-542,Delhi,Morning,one,Night,Mumbai,Economy,,2,9840
165,Air_India,AI-560,Delhi,Morning,one,Night,Mumbai,Economy,,2,9840
166,Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,,2,10566
167,Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,Economy,,2,10303
168,Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,,2,10523
169,Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,,2,10523
170,Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,,2,11048
171,Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,,2,10838
172,Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,,2,10838
173,Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,,2,10838
174,Air_India,AI-544,Delhi,Evening,one,Night,Mumbai,Economy,,2,11100
175,Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,,2,11326
176,Indigo,6E-282,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,,2,11678
177,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,,2,12150
178,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,,2,12150
179,Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,,2,12150
180,Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,,2,12150
181,Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,,2,11814
182,Indigo,6E-152,Delhi,Morning,one,Evening,Mumbai,Economy,,2,11814
183,Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,,2,11900
184,Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,,2,12308
185,Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,,2,12570
186,Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,,2,12570
187,Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,,2,12623
188,Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,2,12623
189,Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,2,12623
190,Air_India,AI-9857,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,2,12298
191,Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17,2,12302
192,Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.5,2,12465
193,Vistara,UK-819,Delhi,Afternoon,one,Morning,Mumbai,Economy,18,2,12990
194,Air_India,AI-885,Delhi,Morning,one,Late_Night,Mumbai,Economy,13.25,2,12675
195,SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75,2,12850
196,Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,2,12990
197,Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5,2,12990
198,Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,2,12990
199,Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,2,12990
200,Air_India,AI-885,Delhi,Morning,one,Morning,Mumbai,Economy,21.42,2,12990
201,GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25,2,13069
202,GO_FIRST,G8-188,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.75,2,13321
203,Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33,2,13673
204,Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,2,13830
205,Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,2,14093
206,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,2,14093
207,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,2,14093
208,Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,2,13830
209,GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,2,14129
210,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,2,14513
211,Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,2,14513
212,Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67,2,14250
213,GO_FIRST,G8-119,Delhi,Evening,one,Morning,Mumbai,Economy,15.17,2,14409
214,GO_FIRST,G8-717,Delhi,Evening,one,Night,Mumbai,Economy,4.75,2,14487
215,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,2,14933
216,Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,2,14933
217,Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,2,15038
218,Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,2,15353
219,Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,2,15353
220,Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,19.33,2,15353
221,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26,2,15353
222,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25,2,15353
223,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,2,15117
224,Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,2,15195
225,Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,2,15232
226,Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25,2,15510
227,Indigo,6E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,2,15720
228,SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,2,15720
229,Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,2,15720
230,Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,2,16035
231,Vistara,UK-839,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08,2,16560
232,Vistara,UK-833,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42,2,16560
233,GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,16823
234,Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42,2,17348
235,Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67,2,17348
236,GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,2,17136
237,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,2,18135
238,Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,2,18135
239,Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,2,19343
240,Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,2,19553
241,Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,2,19815
242,Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,2,20445
243,Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83,2,21180
244,Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92,2,22335
245,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,2,23281
246,GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83,2,23281
247,Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58,2,24488
248,Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,2,24855
249,Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,28.42,2,25905
250,Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,2,29160
251,Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,2,29580
252,SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,3,5953
253,SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,3,5953
254,SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5953
255,Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
256,Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
257,Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
258,GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5954
259,GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5954
260,GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,5954
261,GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,3,5954
262,Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
263,Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,3,5955
264,Indigo,6E-6278,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,3,5955
265,Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,3,5955
266,AirAsia,I5-764,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,3,5956
267,Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,3,5955
268,Air_India,AI-665,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5955
269,Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,5955
270,Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,5955
271,GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33,3,5954
272,GO_FIRST,G8-113,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75,3,5954
273,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,3,5955
274,Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6375
275,SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,6060
276,SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,3,6270
277,Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,3,6690
278,GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,6532
279,GO_FIRST,G8-330,Delhi,Night,zero,Night,Mumbai,Economy,2.25,3,6532
280,Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,3,7005
281,Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2,3,6795
282,GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,7110
283,Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25,3,7420
284,Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,5,3,7583
285,Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,3,7845
286,Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,3,8055
287,Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,3,8370
288,Indigo,6E-549,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,3,8370
289,Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,3,9525
290,Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,3,9988
291,AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,3,9840
292,Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58,3,9988
